ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด,Calculated Total Population,Difference,Generation Z,Millennials,Generation X,Baby Boomers,Silent Generation
6705,50,จังหวัดเชียงใหม่,5001,อำเภอเมืองเชียงใหม่,500107,ตำบลช้างเผือก,"1,061","1,004",0,1936,-1936,113,508,394,321,80
6705,50,จังหวัดเชียงใหม่,5001,อำเภอเมืองเชียงใหม่,500116,ตำบลสันผีเสื้อ,"5,921","6,928",0,12565,-12565,470,2831,3307,3192,721
6705,50,จังหวัดเชียงใหม่,5002,อำเภอจอมทอง,500203,ตำบลบ้านหลวง,"6,803","6,897",0,13326,-13326,685,3203,3078,2618,686
6705,50,จังหวัดเชียงใหม่,5002,อำเภอจอมทอง,500204,ตำบลข่วงเปา,"2,915","3,054",0,5925,-5925,229,1284,1475,1594,410
6705,50,จังหวัดเชียงใหม่,5002,อำเภอจอมทอง,500205,ตำบลสบเตี๊ยะ,"5,506","6,089",0,11560,-11560,384,2208,2615,3702,1110
6705,50,จังหวัดเชียงใหม่,5002,อำเภอจอมทอง,500206,ตำบลบ้านแปะ,"5,906","6,130",0,12017,-12017,530,2543,2611,3204,847
6705,50,จังหวัดเชียงใหม่,5002,อำเภอจอมทอง,500207,ตำบลดอยแก้ว,"2,079","2,115",0,4182,-4182,210,976,1034,879,215
6705,50,จังหวัดเชียงใหม่,5002,อำเภอจอมทอง,500209,ตำบลแม่สอย,"4,576","4,660",0,9208,-9208,501,2055,2112,2217,573
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500301,ตำบลช่างเคิ่ง,"3,787","3,806",0,7423,-7423,284,1495,1781,2083,561
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500302,ตำบลท่าผา,"2,409","2,499",0,4861,-4861,222,989,1153,1336,406
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500303,ตำบลบ้านทับ,"3,421","3,206",0,6590,-6590,486,2033,1329,867,231
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500304,ตำบลแม่ศึก,"6,898","6,414",0,13070,-13070,948,3771,2592,1665,501
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500305,ตำบลแม่นาจร,"5,811","5,601",0,11287,-11287,701,3063,2503,1795,479
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500307,ตำบลปางหินฝน,"3,814","3,750",0,7532,-7532,535,2234,1487,961,298
6705,50,จังหวัดเชียงใหม่,5003,อำเภอแม่แจ่ม,500308,ตำบลกองแขก,"3,321","3,289",0,6531,-6531,378,1507,1605,1271,333
6705,50,จังหวัดเชียงใหม่,5004,อำเภอเชียงดาว,500401,ตำบลเชียงดาว,"6,884","7,208",0,10107,-10107,475,2282,2151,2736,614
6705,50,จังหวัดเชียงใหม่,5004,อำเภอเชียงดาว,500404,ตำบลแม่นะ,"4,846","5,034",0,8750,-8750,353,1708,1848,2668,673
6705,50,จังหวัดเชียงใหม่,5004,อำเภอเชียงดาว,500405,ตำบลเมืองคอง,"1,917","1,958",0,3448,-3448,191,720,812,768,215
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500503,ตำบลลวงเหนือ,"2,791","3,180",0,5897,-5897,211,1066,1461,1852,522
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500504,ตำบลป่าป้อง,"2,155","2,328",0,4375,-4375,149,892,984,1263,364
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500505,ตำบลสง่าบ้าน,959,"1,085",0,2023,-2023,64,348,479,664,233
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500506,ตำบลป่าลาน,"1,074","1,238",0,2280,-2280,80,482,558,659,160
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500507,ตำบลตลาดขวัญ,"2,014","2,519",0,4399,-4399,184,1067,1123,1115,291
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500508,ตำบลสำราญราษฎร์,"2,011","2,282",0,4201,-4201,151,999,940,1183,277
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500509,ตำบลแม่คือ,"3,125","3,525",0,6568,-6568,233,1561,1700,1685,350
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500510,ตำบลตลาดใหญ่,"1,619","1,849",0,3436,-3436,120,691,783,1126,290
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500511,ตำบลแม่ฮ้อยเงิน,"1,664","1,813",0,3458,-3458,103,704,786,1195,241
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500512,ตำบลแม่โป่ง,"2,684","2,838",0,5491,-5491,206,1099,1280,1832,311
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500513,ตำบลป่าเมี่ยง,"1,705","1,695",0,3317,-3317,141,680,776,1010,248
6705,50,จังหวัดเชียงใหม่,5005,อำเภอดอยสะเก็ด,500514,ตำบลเทพเสด็จ,900,845,0,1483,-1483,54,293,332,484,124
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500602,ตำบลแม่แตง,"2,486","2,417",0,3736,-3736,157,699,877,1206,289
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500603,ตำบลขี้เหล็ก,"4,642","5,007",0,7568,-7568,341,1568,1737,2046,480
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500605,ตำบลแม่หอพระ,"2,562","2,739",0,5157,-5157,158,1012,1176,1794,393
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500606,ตำบลสบเปิง,"3,757","3,817",0,7122,-7122,287,1469,1600,2024,448
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500607,ตำบลบ้านเป้า,"2,033","2,153",0,3641,-3641,146,733,807,1156,221
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500608,ตำบลสันป่ายาง,"2,561","2,694",0,3402,-3402,104,675,733,1146,250
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500609,ตำบลป่าแป๋,"3,068","2,943",0,5505,-5505,260,1115,1340,1515,363
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500610,ตำบลเมืองก๋าย,879,828,0,1539,-1539,78,328,307,394,88
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500611,ตำบลบ้านช้าง,"2,119","2,129",0,3257,-3257,194,702,767,804,171
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500612,ตำบลกื้ดช้าง,"2,856","2,734",0,5142,-5142,305,1261,1188,1000,244
